,%Incorrect,Heart of Algebra,Passport to Advanced Math,Problem Solving and Data Analysis,Additional Topics,MC,SA
0,0.3378510777269758,1,0,0,0,1,0
1,0.4835075114304376,1,0,0,0,1,0
2,0.5491508817766166,1,0,0,0,1,0
3,0.5094709340300457,0,1,0,0,1,0
4,0.6058131939908556,1,0,0,0,1,0
5,0.1892553886348791,1,0,0,0,1,0
6,0.3381776616590464,1,0,0,0,1,0
7,0.290986283474853,0,1,0,0,1,0
8,0.2862508164598302,1,0,0,0,1,0
9,0.52106466361855,0,1,0,0,1,0
10,0.7532658393207055,0,0,0,1,1,0
11,0.2615937295885042,0,1,0,0,1,0
12,0.1340627041149575,1,0,0,0,1,0
13,0.5932397126061397,0,1,0,0,1,0
14,0.443990855649902,0,0,0,1,1,0
15,0.25,0,1,0,0,1,0
16,0.5599281515349445,0,1,0,0,1,0
17,0.7362834748530372,0,1,0,0,1,0
18,0.6061397779229262,0,1,0,0,1,0
19,0.775310254735467,0,0,0,1,1,0
20,0.1708033964728935,1,0,0,0,0,1
21,0.5308621815806662,0,0,1,0,0,1
22,0.7362834748530372,0,0,1,0,0,1
23,0.2900065316786414,0,0,1,0,0,1
24,0.1840300457217505,0,0,1,0,0,1
25,0.1353690398432397,1,0,0,0,0,1
26,0.4065969954278249,0,0,1,0,0,1
27,0.3448726322664925,1,0,0,0,0,1
28,0.2803723056825604,1,0,0,0,0,1
29,0.1419007184846505,0,0,1,0,0,1
30,0.3123775310254735,0,0,1,0,0,1
31,0.19578706727629,1,0,0,0,0,1
32,0.2374265186152841,0,0,1,0,0,1
33,0.4124755062050947,1,0,0,0,0,1
34,0.3868386675375571,0,0,1,0,0,1
35,0.37949052906597,0,0,1,0,0,1
36,0.2900065316786414,0,0,1,0,0,1
37,0.5849118223383409,0,1,0,0,0,1
38,0.3781841933376877,0,0,1,0,0,1
39,0.3946766819072501,0,1,0,0,0,1
40,0.7335075114304376,0,0,0,1,0,1
41,0.2300783801436969,1,0,0,0,0,1
42,0.5310254735467015,0,1,0,0,0,1
43,0.5599281515349445,0,1,0,0,0,1
44,0.5029392553886349,0,0,1,0,0,1
45,0.5014696276943175,1,0,0,0,0,1
46,0.6226322664924886,0,0,1,0,0,1
47,0.3605486610058785,1,0,0,0,0,1
48,0.2998040496407577,1,0,0,0,0,1
49,0.6645983017635533,0,1,0,0,0,1
50,0.6030372305682561,0,0,1,0,0,1
51,0.9188438928804704,0,0,0,1,0,1
