Level 1,Level 2,Level 3,Level 4,Level 5,Word Problems,Multiple-Choice,Grid-In,One-Variable Linear Equations,Linear Functions,Two-Variable Linear Equations,Systems of Equations (Two-Variable),One- or Two-Variable Linear Inequalities,Ratios/Rates/Units/Proportions,Percentages,One-Variable Data: Measures of Center and Spread,Two-Variable Data: Models and Scatterplots,Probability and Conditional Probability,Margin of Error,Observational Studies and Experiments,Equivalent Expressions,One-Variable Nonlinear Equations and Two-Variable Systems,Nonlinear Functions,Area and Volume,"Lines, Angles, and Triangles",Right Triangles and Trigonometry,Circles,Complex Numbers,Math_Score,English_Score
60.0,65.33333333333333,52.333333333333336,38.0,5.666666666666667,43.666666666666664,55.333333333333336,17.666666666666668,72.33333333333333,55.666666666666664,39.333333333333336,66.66666666666667,80.66666666666667,44.333333333333336,52.666666666666664,89.0,50.0,50.0,0.0,66.66666666666667,56.666666666666664,36.0,26.0,6.666666666666667,75.0,50.0,16.666666666666668,33.333333333333336,493.3333333333333,650.0
62.2,52.2,29.2,15.6,14.8,31.6,38.4,12.4,63.2,63.4,30.0,43.0,45.4,13.4,30.0,50.0,20.0,50.0,33.333333333333336,16.666666666666668,33.0,34.6,25.4,20.0,33.333333333333336,20.0,10.0,40.0,408.0,550.0
64.33333333333333,57.333333333333336,48.0,25.0,14.333333333333334,37.0,44.333333333333336,33.333333333333336,27.666666666666668,100.0,52.333333333333336,60.666666666666664,56.0,22.333333333333332,18.0,33.333333333333336,44.333333333333336,50.0,33.333333333333336,25.0,65.0,26.0,32.666666666666664,0.0,0.0,50.0,16.666666666666668,33.333333333333336,463.3333333333333,546.6666666666666
90.0,74.2,55.0,53.4,25.4,52.6,66.8,27.8,83.4,37.5,66.0,63.0,81.0,38.4,27.8,73.4,36.6,0.0,66.66666666666667,16.666666666666668,80.0,57.0,58.6,42.0,50.0,80.0,10.0,20.0,556.0,702.0
66.0,58.4,49.8,23.0,15.2,48.8,52.4,15.2,70.2,66.6,43.4,59.4,62.0,50.0,50.2,70.0,60.0,100.0,0.0,66.66666666666667,35.0,31.2,33.8,4.0,50.0,30.0,10.0,0.0,476.0,648.0
95.33333333333333,92.33333333333333,96.0,82.0,80.66666666666667,95.66666666666667,91.66666666666667,87.33333333333333,87.66666666666667,100.0,55.666666666666664,91.33333333333333,100.0,77.66666666666667,100.0,100.0,100.0,100.0,50.0,100.0,83.33333333333333,100.0,91.66666666666667,100.0,100.0,72.33333333333333,66.66666666666667,100.0,746.6666666666666,723.3333333333334
92.5,77.9,72.6,64.9,65.44444444444444,74.6,77.2,60.0,79.7,81.25,79.3,69.8,76.4,65.6,73.2,63.0,73.22222222222223,75.0,66.66666666666667,57.142857142857146,85.8,70.9,74.6,55.0,46.6,71.7,80.0,66.66666666666667,645.0,642.0
91.75,76.0,69.5,32.25,22.75,58.75,70.5,24.75,66.75,100.0,41.0,85.75,93.75,41.75,40.5,75.0,70.75,100.0,66.66666666666667,75.0,76.25,67.5,43.25,10.0,0.0,75.0,25.0,0.0,570.0,650.0
100.0,78.5,67.0,56.5,33.0,65.5,74.5,38.0,100.0,0.0,33.5,80.5,87.5,71.0,83.5,83.5,75.0,100.0,100.0,75.0,70.0,63.5,25.0,50.0,100.0,75.0,25.0,0.0,605.0,690.0
93.33333333333333,89.0,74.33333333333333,82.33333333333333,67.0,81.33333333333333,83.66666666666667,72.0,75.0,100.0,93.33333333333333,70.0,83.33333333333333,80.33333333333333,83.33333333333333,75.0,100.0,100.0,100.0,100.0,79.33333333333333,83.33333333333333,75.33333333333333,44.666666666666664,50.0,100.0,89.0,50.0,690.0,643.3333333333334
94.33333333333333,88.33333333333333,78.66666666666667,65.33333333333333,39.0,76.33333333333333,80.66666666666667,59.333333333333336,83.33333333333333,100.0,85.0,93.33333333333333,86.66666666666667,44.666666666666664,82.0,83.33333333333333,50.0,100.0,100.0,100.0,85.0,71.66666666666667,66.66666666666667,0.0,50.0,83.33333333333333,0.0,66.66666666666667,660.0,636.6666666666666
89.0,85.5,86.16666666666667,78.83333333333333,54.2,81.33333333333333,87.16666666666667,64.16666666666667,75.0,90.0,88.83333333333333,88.0,91.16666666666667,75.0,84.0,91.66666666666667,85.0,100.0,100.0,80.0,88.0,76.33333333333333,82.5,57.833333333333336,75.0,72.33333333333333,75.0,100.0,695.0,701.6666666666666
89.0,83.66666666666667,69.33333333333333,63.0,66.5,69.33333333333333,77.66666666666667,56.333333333333336,94.33333333333333,66.66666666666667,100.0,64.66666666666667,48.666666666666664,64.33333333333333,70.0,61.0,91.66666666666667,50.0,0.0,100.0,78.33333333333333,83.33333333333333,87.66666666666667,22.333333333333332,66.5,89.0,50.0,50.0,643.3333333333334,666.6666666666666
83.5,69.0,61.5,49.0,40.0,61.5,63.5,50.0,83.5,100.0,85.5,77.5,83.5,33.5,50.0,75.0,50.0,100.0,0.0,100.0,62.5,37.5,66.5,0.0,50.0,50.0,75.0,0.0,570.0,585.0
87.8,84.8,76.0,62.1,59.0,72.6,76.7,68.6,85.2,85.5,70.2,92.3,79.1,68.7,56.4,70.33333333333333,76.0,60.0,83.33333333333333,78.57142857142857,77.9,78.3,75.3,51.6,53.4,66.7,46.7,66.66666666666667,654.0,636.0
41.8,39.2,33.6,20.6,5.8,30.2,35.2,13.8,40.0,50.0,22.4,34.0,32.0,13.6,22.8,40.0,36.6,0.0,66.66666666666667,66.66666666666667,35.0,45.6,32.0,4.0,0.0,30.0,20.0,0.0,396.0,426.0
100.0,88.0,83.0,81.0,86.0,88.0,91.0,62.0,50.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,50.0,,100.0,100.0,80.0,60.0,80.0,100.0,,100.0,100.0,0.0,710.0,720.0
66.66666666666667,70.0,47.0,25.0,39.666666666666664,49.0,56.333333333333336,18.0,65.66666666666667,100.0,39.0,49.666666666666664,53.333333333333336,47.0,27.0,100.0,55.666666666666664,100.0,66.66666666666667,25.0,53.333333333333336,50.0,28.666666666666668,46.666666666666664,100.0,50.0,83.33333333333333,0.0,496.6666666666667,616.6666666666666
100.0,100.0,96.0,82.0,60.0,92.0,96.0,77.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,100.0,0.0,0.0,50.0,100.0,100.0,750.0,680.0
89.0,86.33333333333333,80.66666666666667,73.0,41.0,78.0,81.33333333333333,64.0,83.33333333333333,100.0,95.33333333333333,91.66666666666667,78.33333333333333,72.33333333333333,77.33333333333333,83.33333333333333,100.0,50.0,100.0,100.0,85.0,88.33333333333333,61.333333333333336,0.0,50.0,50.0,33.333333333333336,0.0,670.0,683.3333333333334
